time;L_T;MB_DMM;MB_instant_DMM;MB_BDMM;Lambda
59;1,02;9,837747424;10,6798429;11,36836012;0,006
72;0,26;11,06686083;10,05601791;15,35470328;0,006
84;0,24;8,054882046;4,524104696;14,8754718;0,006
123;0,78;16,03477425;38,94555497;12,27680828;0,006
140;0,34;48,18181818;48,18181818;29,87194729;0,006
291;3,02;49,36888089;27,30556071;20,57887043;0,006
344;1,06;7,119751569;8,734690561;23,02960437;0,006
462;2,36;29,93996619;22,27272727;6,294344703;0,006
471;0,18;4,545454545;7,615952913;13,84187418;0,006
