"observation","mean_1]","mean_2]","median_1]","median_2]","sd_1]","sd_2]","mad_1]","mad_2]","q5_1]","q5_2]","q95_1]","q95_2]","time"
"y_fit[1",-19.3072091375,6.7816748925,-19.3075,6.780825,0.0537793993619356,0.383019770051586,0.0507049200000003,0.361665444,-19.3957,6.145541,-19.219295,7.408605,0.0144751483993605
"y_fit[2",-19.30720415,6.78168450875,-19.3075,6.780835,0.0537793276016646,0.383017504543307,0.0507049200000003,0.361665444,-19.3957,6.1455605,-19.219295,7.408615,0.0146859461162239
"y_fit[3",-19.3071870625,6.781716695,-19.3075,6.78087,0.0537787080548715,0.383010088769264,0.0507049200000003,0.361650618,-19.395605,6.145601,-19.21929,7.4086345,0.0153854810399935
"y_fit[4",-19.1137329625,9.61032058,-19.12125,9.667895,0.31435620883876,0.237652414618883,0.318462480000003,0.189157521,-19.61141,9.130555,-18.58459,9.8953905,60.0027211114531
"y_fit[5",-19.1137338375,9.61032471375,-19.12125,9.6679,0.314355861440862,0.237652613217884,0.318462480000003,0.189157520999998,-19.61141,9.1305645,-18.584685,9.8954,60.0028291690489
"y_fit[6",-19.1138089875,9.61070521625,-19.1214,9.66826,0.314332320926392,0.237671924003732,0.31846248,0.189239063999999,-19.61151,9.1308955,-18.58479,9.895807,60.0129802748328
"y_fit[7",-19.1953458625,10.121821115,-19.2018,10.1691,0.255892792508969,0.205452095872783,0.25070766,0.18517674,-19.606325,9.7268665,-18.76249,10.36891,120.0041946857
"y_fit[8",-19.1953374125,10.1217952025,-19.2018,10.1691,0.255893567286826,0.205447724883768,0.25070766,0.18517674,-19.606325,9.726847,-18.762395,10.36891,120.008811105881
"y_fit[9",-19.195333225,10.12178081875,-19.20175,10.169,0.255893876144155,0.205445214031596,0.25078179,0.185325,-19.60642,9.7268275,-18.762395,10.36891,120.011298923865
"y_fit[10",-19.2426912875,9.7551495175,-19.24955,9.778905,0.227942310568838,0.17529888696891,0.225725850000003,0.17294529,-19.604335,9.430288,-18.8579,9.992307,180.005429907758
"y_fit[11",-19.2426924125,9.7551452125,-19.24955,9.7789,0.22794155816332,0.175298924057955,0.225725850000003,0.17294529,-19.604335,9.4302875,-18.8579,9.992307,180.006408387553
"y_fit[12",-19.24270335,9.755102765,-19.24955,9.77886,0.227936133832299,0.175300072254039,0.225725849999998,0.172952703000001,-19.604335,9.4302445,-18.8579,9.9922955,180.016376940589
"y_fit[13",-19.40707015,9.66530492125,-19.41275,9.68089,0.200828324965606,0.187087839467063,0.199557960000004,0.184257528000001,-19.725,9.3297755,-19.0651,9.9401915,240.009266554685
"y_fit[14",-19.4071550875,9.66529012875,-19.41285,9.680865,0.200817742056841,0.187092955855738,0.199557959999998,0.184227875999999,-19.725005,9.329723,-19.065195,9.9401815,240.019510675622
"y_fit[15",-19.4071555,9.66529007375,-19.41285,9.680865,0.200817678068262,0.187092974461813,0.199483829999999,0.184227875999999,-19.725005,9.329723,-19.065195,9.9401815,240.019567535007
"y_fit[16",-19.9810210125,9.47476848875,-19.9808,9.46038,0.143787799373351,0.31344937132562,0.14032809,0.300248739,-20.215705,8.9871025,-19.74509,10.008025,300.00484024927
"y_fit[17",-19.9811226625,9.47471653875,-19.9809,9.46027,0.143782958404506,0.313496721974438,0.140402219999999,0.300300629999999,-20.215805,8.9870105,-19.74519,10.008025,300.013094620076
"y_fit[18",-19.98118015,9.47468708625,-19.9809,9.460235,0.143779532497582,0.31352380752063,0.140402219999999,0.300308043,-20.2159,8.9869595,-19.74519,10.008025,300.01775666574
"y_fit[19",-19.4021764,9.43408970875,-19.36675,9.438115,0.217319533148716,0.34317582657243,0.226318890000007,0.349582254,-19.79901,8.8584035,-19.0992,9.99063,360.001175464764
"y_fit[20",-19.4019512875,9.43413318,-19.3665,9.438155,0.217337728108467,0.343112333841509,0.226318889999999,0.349537776,-19.798815,8.8585635,-19.098995,9.99057,360.009209402879
"y_fit[21",-19.4017477875,9.4341724575,-19.36625,9.43819,0.217354782556751,0.343054975566444,0.226318890000002,0.349471059000002,-19.79871,8.858704,-19.098795,9.99051,360.016472192006
